Period,Sales,Operating_Profit,OPM_Percent,Other_Income,Interest,Depreciation,Profit_Before_Tax,Net_Profit,EPS,Profit_Trend,Sales_Growth,Net_Profit_Growth
Dec-2023,33512.8,4440.0,13.25,1052.9,35.8,1301.5,4155.6,3206.8,102.0,Profit Grew,,
Mar-2024,38471.2,5221.1,13.57,1261.0,76.2,1298.3,5107.6,3952.3,125.71,Profit Grew,14.795540808288155,23.2474741175003
Jun-2024,35779.4,5106.6,14.27,1118.1,57.3,1331.7,4835.7,3759.7,119.58,Profit Declined,-6.996922373099867,-4.8731118589176
Sep-2024,37449.2,4998.8,13.35,1570.5,43.0,1385.7,5140.6,3102.5,98.68,Profit Declined,4.6669312509432626,-17.48011809452882
Dec-2024,38764.3,5076.5,13.1,1124.8,46.3,1429.0,4726.0,3726.9,118.54,Profit Grew,3.511690503401965,20.12570507655118
Mar-2025,40920.1,4844.0,11.84,1583.1,47.6,1461.8,4917.7,3911.1,124.4,Profit Grew,5.561302538676038,4.942445464058598
Jun-2025,38605.2,4622.6,11.97,1923.7,46.8,1556.0,4943.5,3792.4,120.62,Profit Declined,-5.657122050043872,-3.0349518038403467
Sep-2025,42344.2,5086.0,12.01,1013.5,57.2,1703.0,4339.3,3349.0,106.52,Profit Declined,9.685223752240635,-11.691804661955496
Dec-2025,49904.1,5573.1,11.17,1140.5,61.7,1734.6,4917.3,3879.1,123.38,Profit Grew,17.853448642317016,15.82860555389669
Mar-2026,52462.5,6158.3,11.74,581.2,73.0,1748.1,4918.4,3659.0,116.38,Profit Declined,5.126632881867432,-5.673996545590465
